i,T,a,b,frac_state1,frac_1to2,frac_2to1,pi1,pi2
1,10,0.6,0.3,0.3,0.3,0.2,0.33333314747015474,0.66666629494030949
1,10,0.01,0.3,1.0,0.0,0.0,0.96774177935877104,0.032258059311959041
1,10,0.01,0.02,1.0,0.0,0.0,0.66666640103718677,0.33333320051859339
1,100,0.6,0.3,0.34,0.2,0.2,0.33333314747015474,0.66666629494030949
1,100,0.01,0.3,0.87,0.02,0.02,0.96774177935877104,0.032258059311959041
1,100,0.01,0.02,0.73,0.01,0.01,0.66666640103718677,0.33333320051859339
1,1000,0.6,0.3,0.328,0.191,0.19,0.33333314747015474,0.66666629494030949
1,1000,0.01,0.3,0.945,0.015,0.015,0.96774177935877104,0.032258059311959041
1,1000,0.01,0.02,0.59,0.008,0.008,0.66666640103718677,0.33333320051859339
2,10,0.6,0.3,0.2,0.1,0.1,0.33333314747015474,0.66666629494030949
2,10,0.01,0.3,0.5,0.0,0.1,0.96774177935877104,0.032258059311959041
2,10,0.01,0.02,0.0,0.0,0.0,0.66666640103718677,0.33333320051859339
2,100,0.6,0.3,0.3,0.18,0.18,0.33333314747015474,0.66666629494030949
2,100,0.01,0.3,0.73,0.03,0.04,0.96774177935877104,0.032258059311959041
2,100,0.01,0.02,0.55,0.02,0.03,0.66666640103718677,0.33333320051859339
2,1000,0.6,0.3,0.296,0.179,0.179,0.33333314747015474,0.66666629494030949
2,1000,0.01,0.3,0.963,0.015,0.016,0.96774177935877104,0.032258059311959041
2,1000,0.01,0.02,0.487,0.004,0.004,0.66666640103718677,0.33333320051859339
