i,T,a,b,frac_state1,frac_1to2,frac_2to1,pi1,pi2
1,10,0.6,0.3,0.3,0.2,0.1,0.33333314747,0.66666629494
1,10,0.01,0.3,1.0,0.0,0.0,0.967741779359,0.032258059312
1,10,0.01,0.02,1.0,0.0,0.0,0.666666401037,0.333333200519
1,100,0.6,0.3,0.31,0.2,0.19,0.33333314747,0.66666629494
1,100,0.01,0.3,0.97,0.01,0.01,0.967741779359,0.032258059312
1,100,0.01,0.02,1.0,0.0,0.0,0.666666401037,0.333333200519
1,1000,0.6,0.3,0.318,0.195,0.194,0.33333314747,0.66666629494
1,1000,0.01,0.3,0.954,0.009,0.009,0.967741779359,0.032258059312
1,1000,0.01,0.02,0.468,0.005,0.005,0.666666401037,0.333333200519
2,10,0.6,0.3,0.1,0.1,0.1,0.33333314747,0.66666629494
2,10,0.01,0.3,0.9,0.0,0.1,0.967741779359,0.032258059312
2,10,0.01,0.02,0.3,0.0,0.1,0.666666401037,0.333333200519
2,100,0.6,0.3,0.32,0.18,0.19,0.33333314747,0.66666629494
2,100,0.01,0.3,0.99,0.0,0.01,0.967741779359,0.032258059312
2,100,0.01,0.02,0.94,0.0,0.01,0.666666401037,0.333333200519
2,1000,0.6,0.3,0.347,0.207,0.208,0.33333314747,0.66666629494
2,1000,0.01,0.3,0.97,0.005,0.006,0.967741779359,0.032258059312
2,1000,0.01,0.02,0.432,0.006,0.007,0.666666401037,0.333333200519
