i,T,a,b,frac_state1,frac_1to2,frac_2to1
1,10,0.6,0.3,0.332,0.210,0.198
1,10,0.01,0.3,0.970,0.006,0.000
1,10,0.01,0.02,0.918,0.004,0.002
1,100,0.6,0.3,0.330,0.192,0.226
1,100,0.01,0.3,0.964,0.008,0.004
1,100,0.01,0.02,0.686,0.002,0.006
1,1000,0.6,0.3,0.354,0.204,0.210
1,1000,0.01,0.3,0.972,0.010,0.010
1,1000,0.01,0.02,0.680,0.006,0.012
2,10,0.6,0.3,0.362,0.202,0.208
2,10,0.01,0.3,0.936,0.010,0.040
2,10,0.01,0.02,0.164,0.000,0.020
2,100,0.6,0.3,0.302,0.184,0.182
2,100,0.01,0.3,0.964,0.010,0.016
2,100,0.01,0.02,0.634,0.002,0.004
2,1000,0.6,0.3,0.312,0.208,0.168
2,1000,0.01,0.3,0.976,0.008,0.018
2,1000,0.01,0.02,0.648,0.004,0.004
